symbol,last_close_rs,market_cap_cr,market_cap_missing,avg_daily_value_lakh,days_history,zero_vol_days,pump_risk_score,sub_amihud,sub_vol_spike,sub_price_accel
IVC,8.11,254.68,False,18.26,90,2,14.6,3.71,16.67,29.13
FOODSIN,56.93,418.62,False,100.67,90,2,17.63,1.24,5.56,60.74
ATLANTAA,41.09,334.88,False,41.58,88,0,18.94,4.19,17.05,45.19
LOVABLE,72.39,107.14,False,25.69,88,0,20.24,7.94,17.05,44.38
DCMSRIND,38.51,335.01,False,73.66,90,2,18.68,1.68,16.67,48.71
KOHINOOR,24.72,91.64,False,24.79,89,1,13.52,3.45,5.62,40.68
PRITIKAUTO,13.33,221.96,False,25.95,90,2,15.87,4.73,11.11,40.34
ALANKIT,8.58,232.65,False,21.68,89,1,15.66,3.63,5.62,48.95
UNIVASTU,80.0,287.89,False,79.83,88,0,19.56,1.62,28.41,35.87
COMPUSOFT,13.9,109.98,False,10.74,88,0,19.89,15.16,11.36,39.4
MADRASFERT,69.54,1120.3,False,120.07,89,1,16.03,0.95,16.85,38.99
OBCL,51.4,108.37,False,6.06,88,0,11.75,13.72,5.68,17.08
INDBANK,32.79,145.52,False,13.76,89,1,10.32,4.72,5.62,25.87
RUSHIL,14.9,437.19,False,118.78,90,2,16.41,1.17,11.11,48.23
MIRZAINT,30.36,419.58,False,41.08,89,1,14.39,1.91,5.62,46.62
