symbol,date,SentimentDelta_t,NewsCount_t,C_quality,nse_count,screener_count,news_rss_count
ANMOL,2025-05-15,0.0,1,0.05,1,0,0
ANMOL,2025-05-17,0.0,2,0.1,2,0,0
ANMOL,2025-06-20,0.0,1,0.05,0,0,1
ANMOL,2025-06-27,0.0,1,0.05,1,0,0
ANMOL,2025-07-14,0.0,1,0.05,1,0,0
ANMOL,2025-07-27,0.0,1,0.05,0,0,1
ANMOL,2025-08-08,0.0,2,0.1,2,0,0
ANMOL,2025-08-30,0.0,2,0.1,2,0,0
ANMOL,2025-09-18,0.0,1,0.05,1,0,0
ANMOL,2025-09-26,0.0,2,0.1,2,0,0
ANMOL,2025-09-27,0.0,1,0.05,1,0,0
ANMOL,2025-09-30,0.0,1,0.05,1,0,0
ANMOL,2025-10-01,0.0,2,0.1,2,0,0
ANMOL,2025-10-10,0.0,1,0.05,0,0,1
ANMOL,2025-10-12,0.0,1,0.05,0,0,1
ANMOL,2025-10-14,0.0,1,0.05,1,0,0
ANMOL,2025-11-06,0.0,1,0.05,0,0,1
ANMOL,2025-11-13,0.0,2,0.1,2,0,0
ANMOL,2025-11-18,-0.22016630570093793,3,0.15,0,0,3
ANMOL,2025-11-19,-0.12907794713974,10,0.5,0,0,10
ANMOL,2025-11-20,0.0,1,0.05,0,0,1
ANMOL,2025-11-22,0.0,1,0.05,0,0,1
ANMOL,2025-11-29,0.0,1,0.05,0,0,1
ANMOL,2025-12-03,0.0,2,0.1,2,0,0
ANMOL,2025-12-09,-0.23859847585360208,6,0.3,0,0,6
ANMOL,2025-12-10,0.0,1,0.05,0,0,1
ANMOL,2025-12-14,0.0,1,0.05,0,0,1
ANMOL,2025-12-18,0.0,1,0.05,1,0,0
ANMOL,2025-12-26,0.0,3,0.15,3,0,0
ANMOL,2025-12-27,0.0,1,0.05,1,0,0
ANMOL,2025-12-30,0.0,1,0.05,1,0,0
ANMOL,2026-01-13,0.0,1,0.05,1,0,0
ANMOL,2026-01-14,-0.9628505110740662,2,0.1,0,0,2
ANMOL,2026-01-19,0.9406614303588867,2,0.1,0,0,2
ANMOL,2026-01-23,0.0,1,0.05,1,0,0
ANMOL,2026-02-03,0.0,1,0.05,0,0,1
ANMOL,2026-02-12,0.0,1,0.05,1,0,0
ANMOL,2026-02-14,0.0,2,0.1,0,0,2
ANMOL,2026-02-24,-0.9688717722892761,2,0.1,0,0,2
ANMOL,2026-03-13,-0.3587955236434937,3,0.15,0,0,3
ANMOL,2026-03-14,0.0,1,0.05,0,0,1
ANMOL,2026-03-17,0.0,2,0.1,2,0,0
ANMOL,2026-03-25,0.0,1,0.05,1,0,0
ANMOL,2026-03-26,0.0,1,0.05,0,0,1
ANMOL,2026-03-30,0.0,1,0.05,1,0,0
ANMOL,2026-04-07,0.0,1,0.05,1,0,0
ANMOL,2026-04-09,0.0,1,0.05,1,0,0
ANMOL,2026-04-10,0.0,1,0.05,1,0,0
ANMOL,2026-04-20,0.0,1,0.05,1,0,0
ANMOL,2026-05-13,0.0,1,0.05,0,0,1
ANMOL,2026-05-16,0.33032401169047637,5,0.25,1,0,4
ANMOL,2026-05-18,0.0,1,0.05,0,0,1
ANMOL,2026-05-19,-0.9447389245033265,2,0.1,0,0,2
ANMOL,2026-05-25,0.5103757381439209,2,0.1,0,0,2
ANMOL,2026-05-26,0.0,2,0.1,1,0,1
ANMOL,2026-05-27,0.9564703106880189,2,0.1,0,0,2
ANMOL,2026-06-09,-0.855459213256836,2,0.1,0,0,2
ANMOL,2026-06-16,0.9400108456611633,2,0.1,0,0,2
ANMOL,2026-06-17,0.0,2,0.1,0,0,2
ARTNIRMAN,2026-05-22,0.0,1,0.05,0,0,1
ARTNIRMAN,2026-05-25,0.0,1,0.05,0,0,1
ARTNIRMAN,2026-05-27,0.0,1,0.05,0,0,1
ARTNIRMAN,2026-05-28,0.0,1,0.05,0,0,1
ARTNIRMAN,2026-05-29,0.0,1,0.05,0,0,1
EUROTEXIND,2017-03-23,0.0,2,0.1,0,2,0
EUROTEXIND,2017-10-03,0.0,2,0.1,0,2,0
EUROTEXIND,2018-05-21,0.0,2,0.1,0,2,0
EUROTEXIND,2018-11-23,0.0,2,0.1,0,2,0
EUROTEXIND,2019-02-15,0.0,2,0.1,0,2,0
EUROTEXIND,2020-08-31,0.0,2,0.1,0,2,0
EUROTEXIND,2024-01-25,0.0,1,0.05,0,0,1
EUROTEXIND,2025-02-08,0.0,1,0.05,0,0,1
EUROTEXIND,2025-05-27,0.0,1,0.05,0,0,1
EUROTEXIND,2025-11-04,0.0,1,0.05,0,0,1
EUROTEXIND,2026-02-10,0.0,1,0.05,0,0,1
EUROTEXIND,2026-05-13,0.0,1,0.05,0,0,1
EUROTEXIND,2026-05-22,-0.3848842382431031,4,0.2,0,4,0
EUROTEXIND,2026-05-23,0.0,1,0.05,0,0,1
EUROTEXIND,2026-05-25,0.0,2,0.1,0,2,0
EUROTEXIND,2026-05-26,0.0,2,0.1,0,2,0
EUROTEXIND,2026-05-28,0.0,1,0.05,0,0,1
EUROTEXIND,2026-06-09,0.21407729387283322,9,0.45,0,2,7
EUROTEXIND,2026-06-10,0.5654827157656352,3,0.15,0,0,3
EUROTEXIND,2026-06-11,0.0006468296051025576,2,0.1,0,0,2
EUROTEXIND,2026-06-12,0.0,1,0.05,0,0,1
EUROTEXIND,2026-06-15,0.0,1,0.05,0,0,1
EUROTEXIND,2026-06-16,0.0,1,0.05,0,0,1
EUROTEXIND,2026-06-17,0.0,1,0.05,0,0,1
GENUSPAPER,2024-05-06,0.0,1,0.05,0,0,1
GENUSPAPER,2025-09-23,0.0,1,0.05,0,0,1
GENUSPAPER,2026-02-13,0.0,1,0.05,0,0,1
GENUSPAPER,2026-03-12,0.0,1,0.05,0,0,1
GENUSPAPER,2026-05-16,0.0,1,0.05,0,0,1
GENUSPAPER,2026-05-26,0.0,1,0.05,0,0,1
GENUSPAPER,2026-05-28,0.0,1,0.05,0,0,1
GENUSPAPER,2026-06-12,0.0,1,0.05,0,0,1
GENUSPAPER,2026-06-14,0.0,1,0.05,0,0,1
KEEPLEARN,2024-03-20,0.0,1,0.05,0,0,1
KEEPLEARN,2025-07-30,0.0,1,0.05,0,0,1
KEEPLEARN,2026-02-10,0.0,1,0.05,0,0,1
KEEPLEARN,2026-04-10,0.0,1,0.05,0,0,1
KEEPLEARN,2026-05-30,0.0,1,0.05,0,0,1
KEEPLEARN,2026-06-01,0.0,1,0.05,0,0,1
KEEPLEARN,2026-06-04,0.0,1,0.05,0,0,1
KEEPLEARN,2026-06-15,0.0,1,0.05,0,0,1
