date,headline,text,symbol,source_type,sentiment_score
2025-12-09,"CBI books Anil Ambani’s firms, son Jai Anmol in Rs 14,852-cr bank fraud case - The Federal","CBI books Anil Ambani’s firms, son Jai Anmol in Rs 14,852-cr bank fraud case - The Federal",ANMOL,news_rss,0.0
2025-11-22,Video | How Deported Gangster Anmol Bishnoi Became One Of India's 'Most Wanted': Explained - NDTV,Video | How Deported Gangster Anmol Bishnoi Became One Of India's 'Most Wanted': Explained - NDTV,ANMOL,news_rss,0.0
2025-11-29,"Delhi court extends Anmol Bishnoi's custody; NIA gets 7 more days; Siddique, Moosewala links probed - The Times of India","Delhi court extends Anmol Bishnoi's custody; NIA gets 7 more days; Siddique, Moosewala links probed - The Times of India",ANMOL,news_rss,0.0
2025-12-09,CBI Probes Jai Anmol Ambani in Bank Fraud Case - Rediff MoneyWiz,CBI Probes Jai Anmol Ambani in Bank Fraud Case - Rediff MoneyWiz,ANMOL,news_rss,0.0
2026-03-26,"Anmol Ekka, Sakshi Rana thrilled after U-21 nominations at Hockey India Annual Awards - Telangana Today","Anmol Ekka, Sakshi Rana thrilled after U-21 nominations at Hockey India Annual Awards - Telangana Today",ANMOL,news_rss,0.7781703472137451
2025-11-18,"Wanted in Moose Wala & Baba Siddique killings, Lawrence’s brother Anmol Bishnoi being deported to Delhi - ThePrint","Wanted in Moose Wala & Baba Siddique killings, Lawrence’s brother Anmol Bishnoi being deported to Delhi - ThePrint",ANMOL,news_rss,-0.6604989171028137
2025-10-10,Anmol Kharb marches into Arctic Open Super 500 semis - The Indian Express,Anmol Kharb marches into Arctic Open Super 500 semis - The Indian Express,ANMOL,news_rss,0.0
2023-06-19,Tech analyst sees upside in these stocks - CNBC TV18,Tech analyst sees upside in these stocks - CNBC TV18,ANMOL,news_rss,0.0
2025-04-12,Anmol Singh Jaggi - Fortune India,Anmol Singh Jaggi - Fortune India,ANMOL,news_rss,0.0
2025-12-10,CBI books Anil Ambani's son in major bank fraud probe over alleged funds diversion - Telegraph India,CBI books Anil Ambani's son in major bank fraud probe over alleged funds diversion - Telegraph India,ANMOL,news_rss,-0.6795936822891235
2025-11-19,NIA arrests Anmol Bishnoi after gangster brought to India from US - Business Standard,NIA arrests Anmol Bishnoi after gangster brought to India from US - Business Standard,ANMOL,news_rss,-0.7026380300521851
2025-12-09,CBI books Anil Ambani's son over alleged cheating of Rs 228.06 crore with Union Bank of India - Telegraph India,CBI books Anil Ambani's son over alleged cheating of Rs 228.06 crore with Union Bank of India - Telegraph India,ANMOL,news_rss,-0.876227617263794
2025-11-19,Delhi court sends gangster Anmol Bishnoi to 11 days’ NIA custody - The Indian Express,Delhi court sends gangster Anmol Bishnoi to 11 days’ NIA custody - The Indian Express,ANMOL,news_rss,-0.5881414413452148
2024-02-20,Who dares wins! Faridabad's Anmol Kharb shows the way as gutsy 17-year-old has the badminton world gushin - The Times of India,Who dares wins! Faridabad's Anmol Kharb shows the way as gutsy 17-year-old has the badminton world gushin - The Times of India,ANMOL,news_rss,0.0
2024-11-21,Lawrence's brother Anmol applies for asylum in US - The Times of India,Lawrence's brother Anmol applies for asylum in US - The Times of India,ANMOL,news_rss,0.0
2025-11-06,"Samrala killing: Anmol Bishnoi gang claims credit, his jailed aide booked - The Indian Express","Samrala killing: Anmol Bishnoi gang claims credit, his jailed aide booked - The Indian Express",ANMOL,news_rss,-0.7233031392097473
2024-11-20,"Gangster Lawrence Bishnoi’s brother Anmol in custody in ‘Squirrel Cage Jail’ in Iowa, show records - ThePrint","Gangster Lawrence Bishnoi’s brother Anmol in custody in ‘Squirrel Cage Jail’ in Iowa, show records - ThePrint",ANMOL,news_rss,0.0
2024-01-30,"Anmol Kharb, S Bhargav, win All India Senior Ranking badminton titles in Jodhpur - The Times of India","Anmol Kharb, S Bhargav, win All India Senior Ranking badminton titles in Jodhpur - The Times of India",ANMOL,news_rss,0.0
2025-11-19,"Anmol Bishnoi, Lawrence Bishnoi's brother wanted in Baba Siddique case, to be deported to India | India News - Hindustan Times","Anmol Bishnoi, Lawrence Bishnoi's brother wanted in Baba Siddique case, to be deported to India | India News - Hindustan Times",ANMOL,news_rss,0.0
2026-03-14,Jai Anmol Ambani to join CBI probe for second consecutive day in Rs228 crore bank loan fraud case - Goa Chronicle,Jai Anmol Ambani to join CBI probe for second consecutive day in Rs228 crore bank loan fraud case - Goa Chronicle,ANMOL,news_rss,0.0
2025-07-27,Will Unnati Hooda’s defeat of PV Sindhu at China Open usher in a new era of Indian women’s singles? - The Indian Express,Will Unnati Hooda’s defeat of PV Sindhu at China Open usher in a new era of Indian women’s singles? - The Indian Express,ANMOL,news_rss,0.0
2025-11-18,"Anmol Bishnoi, key accused in Baba Siddique murder case, deported from U.S.; expected to land in India today, say police - The Hindu","Anmol Bishnoi, key accused in Baba Siddique murder case, deported from U.S.; expected to land in India today, say police - The Hindu",ANMOL,news_rss,0.0
2025-01-07,‘Make list of builders in Mumbai’: Anmol Bishnoi told aide as Bishnoi gang wanted to start extortion racket - The Indian Express,‘Make list of builders in Mumbai’: Anmol Bishnoi told aide as Bishnoi gang wanted to start extortion racket - The Indian Express,ANMOL,news_rss,0.0
2025-11-19,Baba Siddique murder case: Anmol Bishnoi set to land in India today - Mid-day,Baba Siddique murder case: Anmol Bishnoi set to land in India today - Mid-day,ANMOL,news_rss,0.0
2025-10-12,Indian trucker with ‘Anmol No Name Given’ license detained in Oklahoma amid illegal immigration crackdown | Hindustan Times - Hindustan Times,Indian trucker with ‘Anmol No Name Given’ license detained in Oklahoma amid illegal immigration crackdown | Hindustan Times - Hindustan Times,ANMOL,news_rss,-0.6031396985054016
2024-11-18,"Lawrence Bishnoi’s brother Anmol held in California; Indian officials, FBI discuss possibility of his return - The Indian Express","Lawrence Bishnoi’s brother Anmol held in California; Indian officials, FBI discuss possibility of his return - The Indian Express",ANMOL,news_rss,0.0
2024-02-19,"Anmol Kharb interview: On ‘damn good feeling’ of winning Asia team gold, working with Sindhu and Gopichand and more - The Indian Express","Anmol Kharb interview: On ‘damn good feeling’ of winning Asia team gold, working with Sindhu and Gopichand and more - The Indian Express",ANMOL,news_rss,0.6986703276634216
2026-03-13,CBI grills Anil Ambani's son Jai Anmol in Rs 228 crore bank fraud case - IBTimes India,CBI grills Anil Ambani's son Jai Anmol in Rs 228 crore bank fraud case - IBTimes India,ANMOL,news_rss,0.0
2024-11-22,One look at Anmol and we know why it is the most expensive buffalo in the world - The Times of India,One look at Anmol and we know why it is the most expensive buffalo in the world - The Times of India,ANMOL,news_rss,0.0
2024-11-14,"Anmol, the 1500 kg buffalo from Haryana, is worth Rs 23 crore; know why - The Times of India","Anmol, the 1500 kg buffalo from Haryana, is worth Rs 23 crore; know why - The Times of India",ANMOL,news_rss,0.0
2025-04-16,"DLF Camellias flat for ₹43 cr, ₹6.2 cr to mother: Where Gensol funds went - Business Standard","DLF Camellias flat for ₹43 cr, ₹6.2 cr to mother: Where Gensol funds went - Business Standard",ANMOL,news_rss,0.0
2023-07-06,"Splitsvilla 10 fame Anmol Chaudhary on being single mother in India, crowdsourcing money for delivery: ‘I raised Rs 5 lakh’ - The Indian Express","Splitsvilla 10 fame Anmol Chaudhary on being single mother in India, crowdsourcing money for delivery: ‘I raised Rs 5 lakh’ - The Indian Express",ANMOL,news_rss,0.0
